x0,x1,x2,y
1,-4.641770256,5.558555721,1
1,7.139792783,6.571104788,1
1,4.127968546,-9.024912013,-1
1,0.081376952,3.861381105,1
1,-1.253936807,8.009624616,1
1,0.691456833,-7.475994842,-1
1,0.652162571,-3.871062995,-1
1,5.136416695,1.113326412,1
1,1.107815358,4.554135211,1
1,1.543556165,-2.519625815,1
1,-4.77971975,-0.630814279,-1
1,3.858112543,-7.419825037,-1
1,-8.583121774,4.002171474,-1
1,9.569901727,2.528167755,1
1,-2.209893742,-9.980374615,-1
1,4.899275286,7.742114576,1
1,-0.203596628,-5.380567228,-1
1,5.575367357,3.495771416,1
1,-3.662493126,1.40660126,-1
1,-9.251072131,-8.367551189,-1
1,6.907997645,-1.895982649,1
1,-2.368032946,2.337283512,1
1,3.287761151,5.68277166,1
1,8.573629243,4.714369504,1
1,-6.39190363,-3.39493932,-1
1,-9.484469559,-2.671819581,-1
1,-0.447425262,-3.710735253,-1
1,5.781484135,-6.310988076,1
1,-6.00865354,-4.243973227,-1
1,7.627841016,9.69701129,1
1,-4.004916481,7.63385484,1
1,-0.752313743,-7.466165623,-1
1,0.911154659,-6.76010554,-1
1,8.669979875,-8.607271689,1
1,-7.48598546,1.309428492,-1
1,-1.86067697,-3.792986491,-1
1,1.675215879,6.503464786,1
1,0.051341808,1.339976814,1
1,2.419162913,-8.667045235,-1
1,1.63948133,3.382593889,1
1,4.612935061,4.089319599,1
1,-9.755616381,9.134565393,1
1,4.636352656,5.82447132,1
1,-2.97121021,-2.414623671,-1
1,2.711872649,8.267846816,1
1,7.40932018,-1.138452457,1
1,8.341242946,-0.490393898,1
1,3.949091177,-5.51948168,-1
1,8.258004204,7.353150525,1
1,2.408312776,7.699239321,1
