Date,Open,High,Low,Close,Adj Close,Volume
2018-11-26,104.790001,106.629997,104.580002,106.470001,101.103607,32336200
2018-11-27,106.269997,107.330002,105.360001,107.139999,101.739838,29124500
2018-11-28,107.889999,111.330002,107.860001,111.120003,105.519249,46788500
2018-11-29,110.330002,111.120003,109.029999,110.190002,104.636108,28123200
2018-11-30,110.699997,110.970001,109.360001,110.889999,105.300835,33665600
2018-12-03,113.000000,113.419998,110.730003,112.089996,106.440346,34732800
2018-12-04,111.940002,112.639999,108.209999,108.519997,103.050285,45197000
2018-12-06,105.820000,109.239998,105.000000,109.190002,103.686516,49107400
2018-12-07,108.379997,109.449997,104.300003,104.820000,99.536774,45044900
2018-12-10,104.800003,107.980003,103.889999,107.589996,102.167160,40801500
2018-12-11,109.800003,110.949997,107.440002,108.589996,103.116760,42381900
2018-12-12,110.889999,111.269997,109.040001,109.080002,103.582054,36183000
2018-12-13,109.580002,110.870003,108.629997,109.449997,103.933418,31333400
2018-12-14,108.250000,109.260002,105.500000,106.029999,100.685783,47043100
2018-12-17,105.410004,105.800003,101.709999,102.889999,97.704048,56957300
2018-12-18,103.750000,104.510002,102.519997,103.970001,98.729614,49319200
2018-12-19,103.650002,106.879997,101.349998,103.690002,98.463715,68198200
2018-12-20,103.050003,104.309998,98.779999,101.510002,96.393616,70334200
2018-12-21,101.629997,103.000000,97.459999,98.230003,93.278946,111242100
2018-12-24,97.680000,97.970001,93.980003,94.129997,89.385582,43935200
2018-12-26,95.139999,100.690002,93.959999,100.559998,95.491501,51634800
2018-12-27,99.300003,101.190002,96.400002,101.180000,96.080238,49498500
2018-12-28,102.089996,102.410004,99.519997,100.389999,95.330063,38196300
2018-12-31,101.290001,102.400002,100.440002,101.570000,96.450577,33173800
2019-01-02,99.550003,101.750000,98.940002,101.120003,96.023262,35329300
2019-01-03,100.099998,100.190002,97.199997,97.400002,92.490768,42579100
2019-01-04,99.720001,102.510002,98.930000,101.930000,96.792442,44060600
2019-01-07,101.639999,103.269997,100.980003,102.059998,96.915878,35656100
2019-01-08,103.040001,103.970001,101.709999,102.800003,97.618568,31514400
2019-01-09,103.860001,104.879997,103.239998,104.269997,99.014481,32280800
2019-01-10,103.220001,103.750000,102.379997,103.599998,98.378250,30067600
2019-01-11,103.190002,103.440002,101.639999,102.800003,97.618568,28314200
2019-01-14,101.900002,102.870003,101.260002,102.050003,96.906395,28437100
2019-01-15,102.510002,105.050003,101.879997,105.010002,99.717209,31587600
2019-01-16,105.260002,106.260002,104.959999,105.379997,100.068550,29853900
2019-01-17,105.000000,106.629997,104.760002,106.120003,100.771248,28393000
2019-01-18,107.459999,107.900002,105.910004,107.709999,102.281105,37427600
2019-01-22,106.750000,107.099998,104.860001,105.680000,100.353424,32371300
2019-01-23,106.120003,107.040001,105.339996,106.709999,101.331512,25874300
2019-01-24,106.860001,107.000000,105.339996,106.199997,100.847206,23164800
2019-01-25,107.239998,107.879997,106.199997,107.169998,101.768311,31225600
2019-01-28,106.260002,106.480003,104.660004,105.080002,99.783676,29476700
2019-01-29,104.879997,104.970001,102.169998,102.940002,97.751526,31490500
2019-01-30,104.620003,106.379997,104.330002,106.379997,101.018127,49471900
2019-01-31,103.800003,105.220001,103.180000,104.430000,99.166443,55636400
2019-02-01,103.779999,104.099998,102.349998,102.779999,97.599602,35535700
2019-02-04,102.870003,105.800003,102.769997,105.739998,100.410385,31315100
2019-02-05,106.059998,107.269997,105.959999,107.220001,101.815804,27325400
2019-02-06,107.000000,107.000000,105.529999,106.029999,100.685783,20609800
2019-02-07,105.190002,105.589996,104.290001,105.269997,99.964088,29760700
2019-02-08,104.389999,105.779999,104.260002,105.669998,100.343956,21461100
2019-02-11,106.199997,106.580002,104.970001,105.250000,99.945099,18914100
2019-02-12,106.139999,107.139999,105.480003,106.889999,101.502419,25056600
2019-02-13,107.500000,107.779999,106.709999,106.809998,101.426476,18394900
2019-02-14,106.309998,107.290001,105.660004,106.900002,101.511940,21784700
2019-02-15,107.910004,108.300003,107.360001,108.220001,102.765396,26606900
2019-02-19,107.790001,108.660004,107.779999,108.169998,102.717918,18038500
2019-02-20,107.860001,107.940002,106.290001,107.150002,102.183884,21607700
2019-02-21,106.900002,109.480003,106.870003,109.410004,104.339127,29063200
2019-02-22,110.050003,111.199997,109.820000,110.970001,105.826836,27763200
2019-02-25,111.760002,112.180000,111.260002,111.589996,106.418098,23750600
2019-02-26,111.260002,113.239998,111.169998,112.360001,107.152405,21536700
2019-02-27,111.690002,112.360001,110.879997,112.169998,106.971230,21487100
2019-02-28,112.040001,112.879997,111.730003,112.029999,106.837692,29083900
2019-03-01,112.889999,113.019997,111.669998,112.529999,107.314522,23501200
2019-03-04,113.019997,113.250000,110.800003,112.260002,107.057045,26608000
2019-03-05,112.250000,112.389999,111.230003,111.699997,106.522987,19538300
2019-03-06,111.870003,112.660004,111.430000,111.750000,106.570694,17687000
2019-03-07,111.400002,111.550003,109.870003,110.389999,105.273705,25339000
2019-03-08,109.160004,110.709999,108.800003,110.510002,105.388138,22818400
2019-03-11,110.989998,112.949997,110.980003,112.830002,107.600632,26491600
