x1,x2,y
3.989473727418801,6.9353165410322575,1
-6.248354457,-8.750152703,-1
-1.419805795,-3.427460645,-1
-9.266948519,7.083503152828726,1
-8.487554602,-4.916374098,-1
9.646598381,4.529411311556368,1
-3.389042243,1.8897773442665606,-1
-3.7787729,4.807689947700505,-1
-9.399948418,0.2574521248890793,1
-8.592215553,6.509648442571837,1
8.787944734548798,6.637757156,1
2.6346422116288366,0.8257665996041048,-1
-2.323724015,3.0840028111035895,-1
9.314408769,-7.413156118,-1
-5.211488493,-4.994324227,-1
5.007160892218209,2.046571477189463,1
-7.830055517,-4.787830842,-1
2.7587792719167332,6.4168033698552875,1
-0.752031544,7.204653911655555,-1
-0.231379202,-0.866161875,-1
8.349579890672793,3.01737696,1
8.267127398296541,3.044187280002589,1
1.512684263625303,-7.100750214,1
-8.540105781,-1.812633306,-1
-8.193508923,7.956764824685894,1
-7.995400532,7.084780587,1
8.615759587,-3.295464132,-1
4.936046785483057,-8.629415712,1
7.90774043,1.820108388231425,1
6.317774014217427,-9.048347358,1
-5.817400015,9.779030234,-1
5.662379189271871,-0.722607901,-1
-8.442233862,2.6296132344767003,1
1.9054900008322981,-2.989609055,-1
3.9848393341702284,-5.474841086,1
1.3522237312234164,-0.857957906,-1
-8.977964076,-7.980568532,-1
6.66327153,-9.941105249,1
-0.544296185,-2.420901628,-1
1.6298175260617462,1.6942289493832199,-1
1.7547298636757631,-7.170650878,1
-6.776330409,-5.253963269,-1
0.6643708443036793,3.0910984131735155,-1
7.638855575887732,4.854330479192285,1
-1.543761242,-1.22715206,-1
-9.872172823,-1.783578135,-1
1.211483269897979,-9.152957481,1
2.713484491228197,7.464657613189722,1
5.515155538038311,-5.649504608,1
2.005728149,-4.632045365,1
